engine,file,duration_s,decode_s,rtf,text
dolphin_base,T10_english,6.478,0.154,0.0237,itsल Cfic staposce Gentted Aight perc and N K Wద్roए F्टर one year
dolphin_base,T11_numbers,5.782,0.117,0.0203,ప్రీమிய వర్షத்துக்குకు ஒருలచం ఇరవదాారు ట పத்து वर्षஷ
dolphin_base,T12_formal_tamil,4.574,0.096,0.0209,இதுఉరిదీயாనే  ఎెట్టు సదవిధ వారుమాణంతారు
dolphin_base,T13_noisy_T01,9.427,0.216,0.0229,இது எ  கேர எசன்。
dolphin_base,T14_noisy_T02,12.817,0.288,0.0224,लॉककिन उर्वर्शयनासर
omnilingual_300m,R01_demo_pitch,22.071,3.239,0.1468,சிர் இது எ்டி மாதிரிதான் ரண்டிட் ன் லா்கின் ஒரு வஷம்தா சர் ன்யர் கலுச்சு புல்லா எடுக்கலாம் இந்த பாலிசி எடுத்தாதான லோன் ேக்ன ஆகும் சர் இது கம்்சரி ார்ஜஸ் எது் இல்ல சர் ீோ கமின்
omnilingual_300m,T01_guarantee_fd,5.341,0.699,0.1308,ಸiਰ ਇt ਟ ਮਾਦਰಿದਾ ಗਰಂਟੀಡ ਰಿಟರਨ
omnilingual_300m,T02_lockin_liquidity,5.387,0.684,0.1269,லாக்கின் ஒரு வஷந்தா சர் ன்ர் கழிச்சு புல்லா எடுக்கலாம்
omnilingual_300m,T03_bundling,5.317,0.643,0.1208,இந்த பாலிசி எடுத்தாதா லோன் சாஙகஷன ஆகும் சiர் இது கம்பல்சரி
omnilingual_300m,T04_charges,4.226,0.506,0.1198,ಚಾರ್ಜಸ್ ಎದು ಇಲ್ಲ ಸರ ಜೀರೋ ಕಮಿಶನ್
omnilingual_300m,T05_honest_rate,7.430,0.938,0.1263,ரிட்டன் காரன்டி இல்ல சiர் இலயூஸ்ட்ரேஷனல  சினாரி ஒருக்கு
omnilingual_300m,T06_honest_lockin,5.085,0.604,0.1188,லாகின் அஞ்சு வர்ஷோம் அதுக்கு முன்னாடி சரண்டர் வாழியு கிடையாது
omnilingual_300m,T07_selfcorrect,4.249,0.560,0.1318,லா்கின் மூனு வரஷம் இல்லல்ல அஞ்சு வரஷம்
omnilingual_300m,T08_hedge,3.947,0.490,0.1242,ap to pecet வரகம wரਲਾser
omnilingual_300m,T09_conditional,5.689,0.715,0.1256,காரண்டிடா இருந்தா பசன்் கிடைக்கும் அனா இது காரண்டிட் இல்ல
omnilingual_300m,T10_english,6.478,0.787,0.1215,it's like a fik steposit guaranted cent and you can withraw after one year
omnilingual_300m,T11_numbers,5.782,0.744,0.1287,ప్రీమియం వర్షతుకు ఒర్లచ్చ  టమ్వర్షో
omnilingual_300m,T12_formal_tamil,4.574,0.562,0.1229,ಇದು ಉರುತಿಯಾನ ಎಟ್ಟು ಸದವಿಧ ವರುಮಾಣಂತರು
omnilingual_300m,T13_noisy_T01,9.427,1.281,0.1359,இது எப்டி மாதிரிதான் காரண்டிட் எட்டபர்சென்ட்ரெட்டம்
omnilingual_300m,T14_noisy_T02,12.817,1.717,0.1339,லாகின் ஒருவரஷனனா சiர்
