# VAAKKU ASR bake-off (build plan §11.3 item 2, gate G2)
# device: vivo I2501 (I2501), SoC=QTI SM8850, rom=PD2505CF_EX_A_16.0.24.1.W30, sdk=36
# captured_at: 2026-09-12T18:34:03.198+05:30
# num_threads: 4
# rtf = decode_ms / audio_ms; budget is <= 0.50 (§11.5)
# engine 5 (ANDROID_ON_DEVICE) is absent: it owns the mic and cannot be fed a WAV.
# slot accuracy covers T01-T14 only. R01_demo_pitch runs for RTF but is not scored (counts_for_accuracy=0): it is the pitch we perform, not a test case, and its six expected claims would otherwise be a quarter of the denominator.
# T11_numbers expects zero claims by design, so it scores 0/0. That is the correct result, not a gap — but it also means this table cannot show T11 passing.
kind,engine,clip,counts_for_accuracy,segments,audio_ms,decode_ms,rtf,slots_correct,slots_expected,slot_detail,transcript,error
row,SHERPA_DOLPHIN_SMALL,T05_honest_rate.wav,1,1,7226,249,0.034,0,2,"GUARANTEE expected=false actual=(nothing extracted) MISS; RETURN_RATE expected=4,8 actual=(nothing extracted) MISS",ரிட்டான் கேர இல்ல ர் இலயூஸ்டேஷன்ல நாலு எண்டு சிரியோருக்கு.,
row,SHERPA_DOLPHIN_SMALL,T06_honest_lockin.wav,1,1,4858,168,0.035,0,2,LOCK_IN expected=60 actual=(nothing extracted) MISS; LIQUIDITY expected=nilBefore:60 actual=(nothing extracted) MISS,வரும் முன்னாடிரண்டய கிடையாது,
row,SHERPA_DOLPHIN_SMALL,T07_selfcorrect.wav,1,1,4026,144,0.036,0,1,LOCK_IN expected=60 actual=36 MISS,லாக்கின் மூணு வருஷம் இல்ல இல்ல அஞ்சு வஷம்,
row,SHERPA_DOLPHIN_SMALL,T08_hedge.wav,1,1,3142,113,0.036,0,1,RETURN_RATE expected=8 actual=(nothing extracted) MISS,அப் எ வரைக்கும் வர,
row,SHERPA_DOLPHIN_SMALL,T09_conditional.wav,1,1,5466,186,0.034,0,1,GUARANTEE expected=false actual=(nothing extracted) MISS,ர.,
row,SHERPA_DOLPHIN_SMALL,T10_english.wav,1,1,5766,202,0.035,0,3,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,。,
row,SHERPA_DOLPHIN_SMALL,T11_numbers.wav,1,2,4364,171,0.039,0,0,,த்துக்கு த்தும்,
row,SHERPA_DOLPHIN_SMALL,T12_formal_tamil.wav,1,1,3654,132,0.036,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,ఇది උరుදින ఎట్ట సదවිధ வరుමාనంతారు,
row,SHERPA_DOLPHIN_SMALL,T13_noisy_T01.wav,1,3,5842,223,0.038,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,இதுமாதிரி தான்,
row,SHERPA_DOLPHIN_SMALL,T14_noisy_T02.wav,1,2,2956,123,0.042,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,কি নর্বাসশ নাস।,
row,SHERPA_DOLPHIN_BASE,R01_demo_pitch.wav,0,4,16428,287,0.017,0,6,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS; BUNDLING expected=true actual=(nothing extracted) MISS; CHARGES expected=false actual=(nothing extracted) MISS,சர் இதை எப்டி மாதிரிதா கேரடீட் எட்டு பசன் ட்ரிட்டன். லக.,
row,SHERPA_DOLPHIN_BASE,T01_guarantee_fd.wav,1,1,5114,87,0.017,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,சர் இ இது எப்டி மாதிரிதா கேரட் எட்டு பசன் ரிட்டன்.,
row,SHERPA_DOLPHIN_BASE,T02_lockin_liquidity.wav,1,1,4422,71,0.016,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,லக்கின் ஒருவஷந்தாசர் வன்ன்னர் கழிச்சி ஃபுல்லா எடுக்கலாம்,
row,SHERPA_DOLPHIN_BASE,T03_bundling.wav,1,1,5114,81,0.016,0,1,BUNDLING expected=true actual=(nothing extracted) MISS,இந்த போலசித்ததா லன்ஷகும்ர் இதுகம்ம்பல் சரிரி.,
row,SHERPA_DOLPHIN_BASE,T04_charges.wav,1,1,3526,58,0.016,0,1,CHARGES expected=false actual=(nothing extracted) MISS,چارஜस এ எதுইलसर زیरो комیشن,
row,SHERPA_DOLPHIN_BASE,T05_honest_rate.wav,1,1,7226,114,0.016,0,2,"GUARANTEE expected=false actual=(nothing extracted) MISS; RETURN_RATE expected=4,8 actual=(nothing extracted) MISS",ரிட்டன்கேரட இல்லசார் இலயூஸ்ட்ஷல நாலு பச எட்டு பசன் ரெண்டு சினாரியோருக்கு.,
row,SHERPA_DOLPHIN_BASE,T06_honest_lockin.wav,1,1,4858,77,0.016,0,2,LOCK_IN expected=60 actual=(nothing extracted) MISS; LIQUIDITY expected=nilBefore:60 actual=(nothing extracted) MISS,லாக்கின் அஞ்சுவருஷம் அதுக்கு முன்னாடி சரண்டர் வாலிிய கிடையாது.,
row,SHERPA_DOLPHIN_BASE,T07_selfcorrect.wav,1,1,4026,64,0.016,0,1,LOCK_IN expected=60 actual=(nothing extracted) MISS,lock மூறுவஷ இல்ல இல்ல அஞ்சிுவஷம்,
row,SHERPA_DOLPHIN_BASE,T08_hedge.wav,1,1,3142,53,0.017,0,1,RETURN_RATE expected=8 actual=(nothing extracted) MISS,అटू எட்டு  வரக்கும்  வரலாசர்,
row,SHERPA_DOLPHIN_BASE,T09_conditional.wav,1,1,5466,90,0.016,0,1,GUARANTEE expected=false actual=(nothing extracted) MISS,கேரடா இருந்தா பசன்கிடைக்கும் ஆனா கேர,
row,SHERPA_DOLPHIN_BASE,T10_english.wav,1,1,5766,93,0.016,0,3,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,and  year,
row,SHERPA_DOLPHIN_BASE,T11_numbers.wav,1,2,4364,84,0.019,0,0,,при  и,
row,SHERPA_DOLPHIN_BASE,T12_formal_tamil.wav,1,1,3654,63,0.017,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,ఇది ఉరిదనే  ఎెట్టు సదవిధ వారుమానంతారు,
row,SHERPA_DOLPHIN_BASE,T13_noisy_T01.wav,1,3,5842,113,0.019,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,மாதிரி தான் aran,
row,SHERPA_DOLPHIN_BASE,T14_noisy_T02.wav,1,2,2956,58,0.020,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,,
row,SHERPA_OMNI_300M,R01_demo_pitch.wav,0,4,16428,1735,0.106,0,6,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS; BUNDLING expected=true actual=(nothing extracted) MISS; CHARGES expected=false actual=(nothing extracted) MISS,ਸਿਰ ਇਦ ਐਫ ਟੀ ਮਾਦਰੀ ਦਾ ਗੈਰੰਟੀਡ ਐੱਟ ਪਰਸੰਟ ਰਿਟਰਨ லாக்கின் ஒரு வஷம தா சர் ஒன்யர் கலிச்சு புல்லா எடுக்கலாம் பாலிசி எடுத்தாதா லோன் சேக்ஷன ஆகும் சர் இது கம்பல்சரி सारजस एदु इल्ला सर जीरो कमिशन,
row,SHERPA_OMNI_300M,T01_guarantee_fd.wav,1,1,5114,516,0.101,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,ਸਿਰ ਇਦ ਐਫ್ ਟੀ ਮਾਦਰੀ ਦਾ ಗੈਰੰਟੀಡ ਐಟਟ് ਪਰਸੰਟ ਰਿਟರਨ,
row,SHERPA_OMNI_300M,T02_lockin_liquidity.wav,1,1,4422,462,0.104,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,லா്കிൻ ஒரு வശം നா சர ஒன்யர் கழிச்சு ഫுல்லா எடுக்്கலாம்,
row,SHERPA_OMNI_300M,T03_bundling.wav,1,1,5114,548,0.107,0,1,BUNDLING expected=true actual=(nothing extracted) MISS,இந்த பாலிசி எடுத்தாதா லோன் சாக்ஷன ஆகும் சர் இது கம்பல்சரி,
row,SHERPA_OMNI_300M,T04_charges.wav,1,1,3526,377,0.107,0,1,CHARGES expected=false actual=(nothing extracted) MISS,ਚಾਰ್ਜસ ਇਦુ ਇಲ್ਲ ಸਰ zੀਰੋ ਕਮિશਨ್,
row,SHERPA_OMNI_300M,T05_honest_rate.wav,1,1,7226,771,0.107,1,2,"GUARANTEE expected=false actual=false ok; RETURN_RATE expected=4,8 actual=4 MISS",ரிட்டன் காரன்டி இல்ல சர் இலயூஸ்ட்ரேஷனல நாலு பரசென்ட் எட்டு பரசென்ட ரெண்டு சினாரி ஒருக்கு,
row,SHERPA_OMNI_300M,T06_honest_lockin.wav,1,1,4858,510,0.105,0,2,LOCK_IN expected=60 actual=(nothing extracted) MISS; LIQUIDITY expected=nilBefore:60 actual=(nothing extracted) MISS,லாகின் அஞ்சு வர்ஷம் அதுக்கு முன்னாடி சரண்டர் வாழியு கிடையாது,
row,SHERPA_OMNI_300M,T07_selfcorrect.wav,1,1,4026,429,0.107,0,1,LOCK_IN expected=60 actual=(nothing extracted) MISS,லாகிൻ மூனு வரഷம இல்லல்ல அஞசு வரഷம,
row,SHERPA_OMNI_300M,T08_hedge.wav,1,1,3142,328,0.104,0,1,RETURN_RATE expected=8 actual=(nothing extracted) MISS,అਪ් ਟo एਟ് പਰਸੰਟ ਵਰਕ ਵਰਲਸਰ,
row,SHERPA_OMNI_300M,T09_conditional.wav,1,1,5466,581,0.106,1,1,GUARANTEE expected=false actual=false ok,காரண்டிடா இருந்தா எட்டு பசண்ட் கிடைக்கும் ஆனா இது காரண்டிட் இல்ல,
row,SHERPA_OMNI_300M,T10_english.wav,1,1,5766,603,0.105,2,3,GUARANTEE expected=true actual=true ok; RETURN_RATE expected=8 actual=8 ok; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,it's like a fic teposit guaranted eight percent and you can withraw after one year,
row,SHERPA_OMNI_300M,T11_numbers.wav,1,2,4364,461,0.106,0,0,,ප्रीमयम වर्षतको ओरලචछो इरवदाයरो म पतत वर्षो,
row,SHERPA_OMNI_300M,T12_formal_tamil.wav,1,1,3654,388,0.106,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,ಇದು ಉರುತಿಯಾನ ಎಟ್ಟು ಸದವಿಧ ವರುಮಾಣಂತರು,
row,SHERPA_OMNI_300M,T13_noisy_T01.wav,1,3,5842,625,0.107,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,ي इது एफ் டி माதरிதा जारंटीद एते पसंट रेटम,
row,SHERPA_OMNI_300M,T14_noisy_T02.wav,1,2,2956,321,0.109,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,क नरवश ना sr,
total,SHERPA_WHISPER_TA,T01-T14,1,22,81904,26549,0.324,5,22,slot_accuracy=0.227; worst_rtf=0.381,,
total,SHERPA_DOLPHIN_SMALL,T01-T14,1,22,81904,2956,0.036,0,22,slot_accuracy=0.000; worst_rtf=0.042,,
total,SHERPA_DOLPHIN_BASE,T01-T14,1,22,81904,1393,0.017,0,22,slot_accuracy=0.000; worst_rtf=0.020,,
total,SHERPA_OMNI_300M,T01-T14,1,22,81904,8655,0.106,4,22,slot_accuracy=0.182; worst_rtf=0.109,,
